,year,url,title,author,ID,month,publisher,doi,arxivid,archiveprefix,abstract,journal
16,2015,http://arxiv.org/abs/1511.05641,Net2Net: Accelerating Learning via Knowledge Transfer,"Chen, Tianqi and Goodfellow, Ian and Shlens, Jonathon",Chen2015,nov,,,1511.05641,arXiv,"We introduce techniques for rapidly transferring the information stored in one neural net into another neural net. The main purpose is to accelerate the training of a significantly larger neural net. During real-world workflows, one often trains very many different neural networks during the experimentation and design process. This is a wasteful process in which each new model is trained from scratch. Our Net2Net technique accelerates the experimentation process by instantaneously transferring the knowledge from a previous network to each new deeper or wider network. Our techniques are based on the concept of function-preserving transformations between neural network specifications. This differs from previous approaches to pre-training that altered the function represented by a neural net when adding layers to it. Using our knowledge transfer mechanism to add depth to Inception modules, we demonstrate a new state of the art accuracy rating on the ImageNet dataset.",
56,2015,http://arxiv.org/abs/1511.03643,Unifying distillation and privileged information,"Lopez-Paz, David and Bottou, Léon and Schölkopf, Bernhard and Vapnik, Vladimir",Lopez-Paz2015,nov,,,1511.03643,arXiv,"Distillation (Hinton et al., 2015) and privileged information (Vapnik & Izmailov, 2015) are two techniques that enable machines to learn from other machines. This paper unifies these two techniques into generalized distillation, a framework to learn from multiple machines and data representations. We provide theoretical and causal insight about the inner workings of generalized distillation, extend it to unsupervised, semisupervised and multitask learning scenarios, and illustrate its efficacy on a variety of numerical simulations on both synthetic and real-world data.",
82,2015,http://arxiv.org/abs/1511.06295,Policy Distillation,"Rusu, Andrei A. and Colmenarejo, Sergio Gomez and Gulcehre, Caglar and Desjardins, Guillaume and Kirkpatrick, James and Pascanu, Razvan and Mnih, Volodymyr and Kavukcuoglu, Koray and Hadsell, Raia",Rusu2015,nov,,,1511.06295,arXiv,"Policies for complex visual tasks have been successfully learned with deep reinforcement learning, using an approach called deep Q-networks (DQN), but relatively large (task-specific) networks and extensive training are needed to achieve good performance. In this work, we present a novel method called policy distillation that can be used to extract the policy of a reinforcement learning agent and train a new network that performs at the expert level while being dramatically smaller and more efficient. Furthermore, the same method can be used to consolidate multiple task-specific policies into a single policy. We demonstrate these claims using the Atari domain and show that the multi-task distilled agent outperforms the single-task teachers as well as a jointly-trained DQN agent.",
93,2016,http://arxiv.org/abs/1605.07716,Deeply-Fused Nets,"Wang, Jingdong and Wei, Zhen and Zhang, Ting and Zeng, Wenjun",Wang2016,may,,,1605.07716,arXiv,"In this paper, we present a novel deep learning approach, deeply-fused nets. The central idea of our approach is deep fusion, i.e., combine the intermediate representations of base networks, where the fused output serves as the input of the remaining part of each base network, and perform such combinations deeply over several intermediate representations. The resulting deeply fused net enjoys several benefits. First, it is able to learn multi-scale representations as it enjoys the benefits of more base networks, which could form the same fused network, other than the initial group of base networks. Second, in our suggested fused net formed by one deep and one shallow base networks, the flows of the information from the earlier intermediate layer of the deep base network to the output and from the input to the later intermediate layer of the deep base network are both improved. Last, the deep and shallow base networks are jointly learnt and can benefit from each other. More interestingly, the essential depth of a fused net composed from a deep base network and a shallow base network is reduced because the fused net could be composed from a less deep base network, and thus training the fused net is less difficult than training the initial deep base network. Empirical results demonstrate that our approach achieves superior performance over two closely-related methods, ResNet and Highway, and competitive performance compared to the state-of-the-arts.",
58,2016,http://arxiv.org/abs/1608.00892,Knowledge Distillation for Small-footprint Highway Networks,"Lu, Liang and Guo, Michelle and Renals, Steve",Lu2016,aug,,,1608.00892,arXiv,"Deep learning has significantly advanced state-of-the-art of speech recognition in the past few years. However, compared to conventional Gaussian mixture acoustic models, neural network models are usually much larger, and are therefore not very deployable in embedded devices. Previously, we investigated a compact highway deep neural network (HDNN) for acoustic modelling, which is a type of depth-gated feedforward neural network. We have shown that HDNN-based acoustic models can achieve comparable recognition accuracy with much smaller number of model parameters compared to plain deep neural network (DNN) acoustic models. In this paper, we push the boundary further by leveraging on the knowledge distillation technique that is also known as \$\backslash$it teacher-student\ training, i.e., we train the compact HDNN model with the supervision of a high accuracy cumbersome model. Furthermore, we also investigate sequence training and adaptation in the context of teacher-student training. Our experiments were performed on the AMI meeting speech recognition corpus. With this technique, we significantly improved the recognition accuracy of the HDNN acoustic model with less than 0.8 million parameters, and narrowed the gap between this model and the plain DNN with 30 million parameters.",
98,2016,http://link.springer.com/10.1007/978-3-319-46484-8_32,Accelerating Convolutional Neural Networks with Dominant Convolutional Kernel and Knowledge Pre-regression,"Wang, Zhenyang and Deng, Zhidong and Wang, Shiyao",Wang2016a,,"Springer, Cham",10.1007/978-3-319-46484-8_32,,,,
100,2016,http://arxiv.org/abs/1611.05128,Designing Energy-Efficient Convolutional Neural Networks using Energy-Aware Pruning,"Yang, Tien-Ju and Chen, Yu-Hsin and Sze, Vivienne",Yang2016,nov,,,1611.05128,arXiv,"Deep convolutional neural networks (CNNs) are indispensable to state-of-the-art computer vision algorithms. However, they are still rarely deployed on battery-powered mobile devices, such as smartphones and wearable gadgets, where vision algorithms can enable many revolutionary real-world applications. The key limiting factor is the high energy consumption of CNN processing due to its high computational complexity. While there are many previous efforts that try to reduce the CNN model size or amount of computation, we find that they do not necessarily result in lower energy consumption, and therefore do not serve as a good metric for energy cost estimation. To close the gap between CNN design and energy consumption optimization, we propose an energy-aware pruning algorithm for CNNs that directly uses energy consumption estimation of a CNN to guide the pruning process. The energy estimation methodology uses parameters extrapolated from actual hardware measurements that target realistic battery-powered system setups. The proposed layer-by-layer pruning algorithm also prunes more aggressively than previously proposed pruning methods by minimizing the error in output feature maps instead of filter weights. For each layer, the weights are first pruned and then locally fine-tuned with a closed-form least-square solution to quickly restore the accuracy. After all layers are pruned, the entire network is further globally fine-tuned using back-propagation. With the proposed pruning method, the energy consumption of AlexNet and GoogLeNet are reduced by 3.7x and 1.6x, respectively, with less than 1% top-5 accuracy loss. Finally, we show that pruning the AlexNet with a reduced number of target classes can greatly decrease the number of weights but the energy reduction is limited. Energy modeling tool and energy-aware pruned models available at http://eyeriss.mit.edu/energy.html",
46,2016,http://link.springer.com/10.1007/978-3-319-46484-8,Computer Vision – ECCV 2016,,Leibe2016,,Springer International Publishing,10.1007/978-3-319-46484-8,,,,
81,2016,http://proceedings.mlr.press/v48/bulo16.html,Dropout Distillation,"Rota Bulò, Samuel and Porzi, Lorenzo and Kontschieder, Peter",Bulo2016,jun,,,,,"Dropout is a popular stochastic regularization technique for deep neural networks that works by randomly dropping (i.e. zeroing) units from the network during training. This randomiza-tion process allows to implicitly train an ensem-ble of exponentially many networks sharing the same parametrization, which should be averaged at test time to deliver the final prediction. A typi-cal workaround for this intractable averaging op-eration consists in scaling the layers undergoing dropout randomization. This simple rule called "" standard dropout "" is efficient, but might degrade the accuracy of the prediction. In this work we introduce a novel approach, coined "" dropout dis-tillation "" , that allows us to train a predictor in a way to better approximate the intractable, but preferable, averaging process, while keeping un-der control its computational efficiency. We are thus able to construct models that are as effi-cient as standard dropout, or even more efficient, while being more accurate. Experiments on stan-dard benchmark datasets demonstrate the validity of our method, yielding consistent improvements over conventional dropout.",
105,2016,http://arxiv.org/abs/1612.03928,Paying More Attention to Attention: Improving the Performance of Convolutional Neural Networks via Attention Transfer,"Zagoruyko, Sergey and Komodakis, Nikos",Zagoruyko2016,dec,,,1612.03928,arXiv,"Attention plays a critical role in human visual experience. Furthermore, it has recently been demonstrated that attention can also play an important role in the context of applying artificial neural networks to a variety of tasks from fields such as computer vision and NLP. In this work we show that, by properly defining attention for convolutional neural networks, we can actually use this type of information in order to significantly improve the performance of a student CNN network by forcing it to mimic the attention maps of a powerful teacher network. To that end, we propose several novel methods of transferring attention, showing consistent improvement across a variety of datasets and convolutional neural network architectures. Code and models for our experiments are available at https://github.com/szagoruyko/attention-transfer",
106,2016,http://arxiv.org/abs/1611.03530,Understanding deep learning requires rethinking generalization,"Zhang, Chiyuan and Bengio, Samy and Hardt, Moritz and Recht, Benjamin and Vinyals, Oriol",Zhang2016,nov,,,1611.03530,arXiv,"Despite their massive size, successful deep artificial neural networks can exhibit a remarkably small difference between training and test performance. Conventional wisdom attributes small generalization error either to properties of the model family, or to the regularization techniques used during training. Through extensive systematic experiments, we show how these traditional approaches fail to explain why large neural networks generalize well in practice. Specifically, our experiments establish that state-of-the-art convolutional networks for image classification trained with stochastic gradient methods easily fit a random labeling of the training data. This phenomenon is qualitatively unaffected by explicit regularization, and occurs even if we replace the true images by completely unstructured random noise. We corroborate these experimental findings with a theoretical construction showing that simple depth two neural networks already have perfect finite sample expressivity as soon as the number of parameters exceeds the number of data points as it usually does in practice. We interpret our experimental findings by comparison with traditional models.",
71,2016,http://ieeexplore.ieee.org/document/7546524/,Distillation as a Defense to Adversarial Perturbations Against Deep Neural Networks,"Papernot, Nicolas and McDaniel, Patrick and Wu, Xi and Jha, Somesh and Swami, Ananthram",Papernot2016,may,IEEE,10.1109/SP.2016.41,,,,
57,2017,http://arxiv.org/abs/1705.08665,Bayesian Compression for Deep Learning,"Louizos, Christos and Ullrich, Karen and Welling, Max",Louizos,,,,1705.08665,arXiv,"Compression and computational efficiency in deep learning have become a problem of great significance. In this work, we argue that the most principled and effective way to attack this problem is by adopting a Bayesian point of view, where through sparsity inducing priors we prune large parts of the network. We introduce two novelties in this paper: 1) we use hierarchical priors to prune nodes instead of individual weights, and 2) we use the posterior uncertainties to determine the optimal fixed point precision to encode the weights. Both factors significantly contribute to achieving the state of the art in terms of compression rates, while still staying competitive with methods designed to optimize for speed or energy efficiency.",
42,2017,http://arxiv.org/abs/1703.07131,Knowledge distillation using unlabeled mismatched images,"Kulkarni, Mandar and Patil, Kalpesh and Karande, Shirish",Kulkarni2017,mar,,,1703.07131,arXiv,"Current approaches for Knowledge Distillation (KD) either directly use training data or sample from the training data distribution. In this paper, we demonstrate effectiveness of 'mismatched' unlabeled stimulus to perform KD for image classification networks. For illustration, we consider scenarios where this is a complete absence of training data, or mismatched stimulus has to be used for augmenting a small amount of training data. We demonstrate that stimulus complexity is a key factor for distillation's good performance. Our examples include use of various datasets for stimulating MNIST and CIFAR teachers.",
36,2017,http://arxiv.org/abs/1707.01219,Like What You Like: Knowledge Distill via Neuron Selectivity Transfer,"Huang, Zehao and Wang, Naiyan",Huang2017,jul,,,1707.01219,arXiv,"Despite deep neural networks have demonstrated extraordinary power in various applications, their superior performances are at expense of high storage and computational costs. Consequently, the acceleration and compression of neural networks have attracted much attention recently. Knowledge Transfer (KT), which aims at training a smaller student network by transferring knowledge from a larger teacher model, is one of the popular solutions. In this paper, we propose a novel knowledge transfer method by treating it as a distribution matching problem. Particularly, we match the distributions of neuron selectivity patterns between teacher and student networks. To achieve this goal, we devise a new KT loss function by minimizing the Maximum Mean Discrepancy (MMD) metric between these distributions. Combined with the original loss function, our method can significantly improve the performance of student networks. We validate the effectiveness of our method across several datasets, and further combine it with other KT methods to explore the best possible results. Last but not least, we fine-tune the model to other tasks such as object detection. The results are also encouraging, which confirm the transferability of the learned features.",
60,2017,http://arxiv.org/abs/1712.00108,Graph Distillation for Action Detection with Privileged Modalities,"Luo, Zelun and Hsieh, Jun-Ting and Jiang, Lu and Niebles, Juan Carlos and Fei-Fei, Li",Luo2017,nov,,,1712.00108,arXiv,"We propose a technique that tackles action detection in multimodal videos under a realistic and challenging condition in which only limited training data and partially observed modalities are available. Common methods in transfer learning do not take advantage of the extra modalities potentially available in the source domain. On the other hand, previous work on multimodal learning only focuses on a single domain or task and does not handle the modality discrepancy between training and testing. In this work, we propose a method termed graph distillation that incorporates rich privileged information from a large-scale multimodal dataset in the source domain, and improves the learning in the target domain where training data and modalities are scarce. We evaluate our approach on action classification and detection tasks in multimodal videos, and show that our model outperforms the state-of-the-art by a large margin on the NTU RGB+D and PKU-MMD benchmarks. The code is released at http://alan.vision/eccv18_graph/.",
48,2017,http://ieeexplore.ieee.org/document/8100259/,Mimicking Very Efficient Network for Object Detection,"Li, Quanquan and Jin, Shengying and Yan, Junjie",Li2017,jul,IEEE,10.1109/CVPR.2017.776,,,,
55,2017,http://arxiv.org/abs/1710.07535,Data-Free Knowledge Distillation for Deep Neural Networks,"Lopes, Raphael Gontijo and Fenu, Stefano and Starner, Thad",Lopes2017,oct,,,1710.07535,arXiv,"Recent advances in model compression have provided procedures for compressing large neural networks to a fraction of their original size while retaining most if not all of their accuracy. However, all of these approaches rely on access to the original training set, which might not always be possible if the network to be compressed was trained on a very large dataset, or on a dataset whose release poses privacy or safety concerns as may be the case for biometrics tasks. We present a method for data-free knowledge distillation, which is able to compress deep neural networks trained on large-scale datasets to a fraction of their size leveraging only some extra metadata to be provided with a pretrained model release. We also explore different kinds of metadata that can be used with our method, and discuss tradeoffs involved in using each of them.",
51,2017,http://openaccess.thecvf.com/content_iccv_2017/html/Li_Learning_From_Noisy_ICCV_2017_paper.html,Learning From Noisy Labels With Distillation,"Li, Yuncheng and Yang, Jianchao and Song, Yale and Cao, Liangliang and Luo, Jiebo and Li, Li-Jia",Li2017a,,,,,,,
21,2017,http://dx.doi.org/10.21437/Interspeech.2017-614,Efficient Knowledge Distillation from an Ensemble of Teachers,"Fukuda, Takashi and Suzuki, Masayuki and Kurata, Gakuto and Thomas, Samuel and Cui, Jia and Ramabhadran, Bhuvana",Fukuda2017,,,10.21437/Interspeech.2017-614,,,"This paper describes the effectiveness of knowledge distillation using teacher student training for building accurate and compact neural networks. We show that with knowledge distillation , information from multiple acoustic models like very deep VGG networks and Long Short-Term Memory (LSTM) models can be used to train standard convolutional neural network (CNN) acoustic models for a variety of systems requiring a quick turnaround. We examine two strategies to leverage multiple teacher labels for training student models. In the first technique , the weights of the student model are updated by switching teacher labels at the minibatch level. In the second method, student models are trained on multiple streams of information from various teacher distributions via data augmentation. We show that standard CNN acoustic models can achieve comparable recognition accuracy with much smaller number of model parameters compared to teacher VGG and LSTM acoustic models. Additionally we also investigate the effectiveness of using broadband teacher labels as privileged knowledge for training better narrowband acoustic models within this framework. We show the benefit of this simple technique by training narrow-band student models with broadband teacher soft labels on the Aurora 4 task.",
12,2017,https://papers.nips.cc/paper/6676-learning-efficient-object-detection-models-with-knowledge-distillation,Learning Efficient Object Detection Models with Knowledge Distillation,"Chen, Guobin and Choi, Wongun and Yu, Xiang and Han, Tony and Chandraker, Manmohan",Chen2017,,,,,,,
99,2017,http://arxiv.org/abs/1709.00513,Training Shallow and Thin Networks for Acceleration via Knowledge Distillation with Conditional Adversarial Networks,"Xu, Zheng and Hsu, Yen-Chang and Huang, Jiawei",Xu2017,sep,,,1709.00513,arXiv,"There is an increasing interest on accelerating neural networks for real-time applications. We study the student-teacher strategy, in which a small and fast student network is trained with the auxiliary information learned from a large and accurate teacher network. We propose to use conditional adversarial networks to learn the loss function to transfer knowledge from teacher to student. The proposed method is particularly effective for relatively small student networks. Moreover, experimental results show the effect of network size when the modern networks are used as student. We empirically study the trade-off between inference time and classification accuracy, and provide suggestions on choosing a proper student network.",
8,2017,http://arxiv.org/abs/1709.07604,"A Comprehensive Survey of Graph Embedding: Problems, Techniques and Applications","Cai, Hongyun and Zheng, Vincent W. and Chang, Kevin Chen-Chuan",Cai2017,,,10.1109/TKDE.2018.2807452,1709.07604,arXiv,"Graph is an important data representation which appears in a wide diversity of real-world scenarios. Effective graph analytics provides users a deeper understanding of what is behind the data, and thus can benefit a lot of useful applications such as node classification, node recommendation, link prediction, etc. However, most graph analytics methods suffer the high computation and space cost. Graph embedding is an effective yet efficient way to solve the graph analytics problem. It converts the graph data into a low dimensional space in which the graph structural information and graph properties are maximally preserved. In this survey, we conduct a comprehensive review of the literature in graph embedding. We first introduce the formal definition of graph embedding as well as the related concepts. After that, we propose two taxonomies of graph embedding which correspond to what challenges exist in different graph embedding problem settings and how the existing work address these challenges in their solutions. Finally, we summarize the applications that graph embedding enables and suggest four promising future research directions in terms of computation efficiency, problem settings, techniques and application scenarios.",
7,2017,http://ieeexplore.ieee.org/document/7953145/,Domain adaptation of DNN acoustic models using knowledge distillation,"Asami, Taichi and Masumura, Ryo and Yamaguchi, Yoshikazu and Masataki, Hirokazu and Aono, Yushi",Asami2017,mar,IEEE,10.1109/ICASSP.2017.7953145,,,,
102,2017,http://openaccess.thecvf.com/content_cvpr_2017/html/Yim_A_Gift_From_CVPR_2017_paper.html,"A Gift From Knowledge Distillation: Fast Optimization, Network Minimization and Transfer Learning","Yim, Junho and Joo, Donggyu and Bae, Jihoon and Kim, Junmo",Yim2017,,,,,,,
59,2018,http://alan.vision/eccv18,"Graph Distillation for Action Detection with Privileged Modalities Target Train Few Examples, A Subset of Modalities Abundant Example, Multiple Modalities","Luo, Zelun and Hsieh, Jun-Ting and Jiang, Lu and Niebles, Juan Carlos and Fei-Fei, Li",Luo2018,,,,1712.00108v2,arXiv,"Source Fig. 1. Our problem statement. In the source domain, we have abundant data from multiple modalities. In the target domain, we have limited data and a subset of the modalities during training, and only one modality during testing. The curved connectors between modalities represent our proposed graph distillation. Abstract. We propose a technique that tackles action detection in mul-timodal videos under a realistic and challenging condition in which only limited training data and partially observed modalities are available. Common methods in transfer learning do not take advantage of the extra modalities potentially available in the source domain. On the other hand, previous work on multimodal learning only focuses on a single domain or task and does not handle the modality discrepancy between training and testing. In this work, we propose a method termed graph distillation that incorporates rich privileged information from a large-scale multi-modal dataset in the source domain, and improves the learning in the target domain where training data and modalities are scarce. We evaluate our approach on action classification and detection tasks in multimodal videos, and show that our model outperforms the state-of-the-art by a large margin on the NTU RGB+D and PKU-MMD benchmarks. The code is released at http://alan.vision/eccv18 graph/.",
66,2018,http://arxiv.org/abs/1812.07390,Distill-Net: Application-Specific Distillation of Deep Convolutional Neural Networks for Resource-Constrained IoT Platforms,"Motamedi, Mohammad and Portillo, Felix and Fong, Daniel and Ghiasi, Soheil",Motamedi2018,dec,,,1812.07390,arXiv,"Many Internet-of-Things (IoT) applications demand fast and accurate understanding of a few key events in their surrounding environment. Deep Convolutional Neural Networks (CNNs) have emerged as an effective approach to understand speech, images, and similar high dimensional data types. Algorithmic performance of modern CNNs, however, fundamentally relies on learning class-agnostic hierarchical features that only exist in comprehensive training datasets with many classes. As a result, fast inference using CNNs trained on such datasets is prohibitive for most resource-constrained IoT platforms. To bridge this gap, we present a principled and practical methodology for distilling a complex modern CNN that is trained to effectively recognize many different classes of input data into an application-dependent essential core that not only recognizes the few classes of interest to the application accurately, but also runs efficiently on platforms with limited resources. Experimental results confirm that our approach strikes a favorable balance between classification accuracy (application constraint), inference efficiency (platform constraint), and productive development of new applications (business constraint).",
67,2018,https://papers.nips.cc/paper/8031-learning-to-specialize-with-knowledge-distillation-for-visual-question-answering,Learning to Specialize with Knowledge Distillation for Visual Question Answering,"Mun, Jonghwan and Lee, Kimin and Shin, Jinwoo and Han, Bohyung",Mun2018,,,,,,,
